Latitude,Longitude
34.0522,-118.2437
40.7128,-74.0060
51.5074,-0.1278
48.8566,2.3522
35.682839,-105.938644
41.8781,-87.6298
19.4326,-99.1332
33.7490,-84.3880
25.276987,-80.344434
53.349805,-6.26031
37.7749,-122.4194
40.4168,-3.7038
55.7558,37.6176
37.7749,-122.4194
38.895110, -77.036370
34.0522,-118.2437
40.7128,-74.0060
51.5074,-0.1278
48.8566,2.3522
35.682839,-105.938644
41.8781,-87.6298
19.4326,-99.1332
33.7490,-84.3880
25.276987,-80.344434
53.349805,-6.26031
37.7749,-122.4194
40.4168,-3.7038
55.7558,37.6176
37.7749,-122.4194
38.895110, -77.036370
34.0522,-118.2437
40.7128,-74.0060
51.5074,-0.1278
48.8566,2.3522
35.682839,-105.938644
41.8781,-87.6298
19.4326,-99.1332
33.7490,-84.3880
25.276987,-80.344434
53.349805,-6.26031
37.7749,-122.4194
40.4168,-3.7038
55.7558,37.6176
37.7749,-122.4194
38.895110, -77.036370
